numero,tema,pregunta,respuestas,respuestas_correctas
1,Tema 7,"1. ¿Cuál es una función principal de un sistema de gestión de bases de datos (SGBD)?",a) Implementar interfaces gráficas para el usuario;b) Almacenar grandes volúmenes de datos;c) Diseñar hardware específico para almacenamiento;d) Gestionar el acceso concurrente a los datos;e) Optimizar la velocidad de internet,b;d
2,Tema 7,2. ¿Qué sistemas preceden al modelo relacional?,a) Bases de datos orientadas a objetos;b) Bases de datos distribuidas;c) Bases de datos jerárquicas;d) Bases de datos en red;e) Bases de datos columnares,c;d
3,Tema 7,3. ¿Qué caracteriza a una clave candidata en una relación?,a) Cumple unicidad;b) Es siempre única en toda la base de datos;c) Puede tener atributos nulos;d) Cumple minimalidad;e) Siempre es la clave primaria,a;d
4,Tema 7,5. ¿Cuál es el propósito de las claves ajenas (foreign keys)?,a) Evitar duplicados en una tabla;b) Representar asociaciones entre relaciones;c) Garantizar la integridad de los datos;d) Relacionar una relación con otra;e) Incrementar el rendimiento de consultas,b;d
5,Tema 7,6. ¿Cuál es una característica de un dominio en una base de datos relacional?,a) Puede estar definido por un tipo básico con restricciones;b) No puede contener valores nulos;c) Es único para cada tabla;d) Solo admite números enteros;e) Debe tener definido el operador de igualdad,a;e
6,Tema 7,7. ¿Qué ocurre si un atributo tiene un valor nulo?,a) Se desconoce su valor;b) Se considera un valor por defecto;c) No puede compararse con valores de otros dominios;d) Implica un error en la base de datos;e) Se interpreta como cero en consultas,a;c
7,Tema 7,8. ¿Qué es el grado de una relación?,a) El número de atributos definidos en su intensión;b) El número de tuplas en su extensión;c) El número de claves primarias que contiene;d) El nivel de jerarquía en la base de datos;e) El número de claves ajenas asociadas,a
8,Tema 7,9. ¿Qué garantiza la regla de integridad referencial?,a) Las claves ajenas deben coincidir con claves primarias o ser nulas;b) Ningún atributo de una clave ajena puede ser nulo;c) Garantiza asociaciones válidas entre tablas;d) Permite relaciones entre claves únicas;e) Las claves ajenas deben ser valores únicos,a;c
9,Tema 7,10. ¿Qué característica define a una superclave?,a) Cumple unicidad;b) Puede contener valores nulos;c) Es siempre igual a la clave primaria;d) Debe incluir todos los atributos de la tabla;e) No necesariamente cumple minimalidad,a;e
10,Tema 7,11. ¿Qué valores puede incluir un dominio enumerado?,"a) Números reales;b) Cadenas sin restricciones;c) Valores predefinidos como 'lunes', 'martes';d) Fechas y horas;e) Números enteros negativos",c
11,Tema 7,12. ¿Qué distingue a una tabla de una relación en el modelo relacional?,a) Las filas están ordenadas;b) Las filas pueden repetirse;c) Las columnas no tienen orden;d) Las columnas tienen un nombre y un orden;e) Las tuplas no tienen valores repetidos,a;b;d
12,Tema 7,13. ¿Qué se requiere para que un dominio sea válido?,a) Contener valores únicos;b) Definir un operador de igualdad;c) Tener una restricción de tipo;d) Incluir un rango definido;e) Ser siempre numérico,b;c
13,Tema 7,14. ¿Qué implica la regla de integridad de entidad?,a) Ningún atributo de una clave primaria puede tomar el valor nulo;b) Todas las tuplas deben ser únicas;c) Las claves primarias deben ser enteras;d) Se prohíbe el uso de claves ajenas;e) Todas las columnas deben tener restricciones de unicidad,a
14,Tema 7,15. ¿Qué operador es necesario para dominios con valores algebraicos?,a) Concatenación;b) Suma;c) Multiplicación;d) División entera;e) Operador lógico AND,b; c
